Cvarians9779	K13953
Cvarians348486	K14498
Cvarians529	K14788
Cvarians7717	K02976
Cvarians414047	K11644
Cvarians3412	K18749
Cvarians401104	K00326
Cvarians34022	K10104
Cvarians1196	K22544
Cvarians124383	K00106
Cvarians367724	K16474
Cvarians16260	K11308
Cvarians241828	K11839
Cvarians174482	K10606
Cvarians10209	K05863
Cvarians433564	K22747
Cvarians16032	K02725
Cvarians103173	K02910
Cvarians76852	K20241
Cvarians38651	K01634
Cvarians301793	K06990
Cvarians773	K05695
Cvarians47593	K17307
Cvarians7337	K01934
Cvarians249856	K04962
Cvarians163062	K08823
Cvarians149559	K22803
Cvarians242936	K20347
Cvarians22412	K14760
Cvarians470343	K10398
Cvarians237192	K23566
Cvarians424613	K02993
Cvarians153325	K09611
Cvarians10300	K10278
Cvarians355679	K02892
Cvarians56721	K04646
Cvarians52254	K12623
Cvarians100954	K00021
Cvarians50110	K09848
Cvarians112331	K14327
Cvarians21933	K09848
Cvarians47424	K03644
Cvarians195461	K06689
Cvarians73131	K01581
Cvarians344911	K13917
Cvarians90964	K06185
Cvarians16608	K08515
Cvarians182611	K17261
Cvarians82491	K01530
Cvarians356378	K21767
Cvarians430253	K05544
Cvarians92782	K15177
Cvarians47926	K10408
Cvarians458957	K01054
Cvarians75316	K11087
Cvarians158726	K23909
Cvarians49540	K20826
Cvarians249835	K08654
Cvarians204837	K12598
Cvarians7925	K12302
Cvarians104873	K08057
Cvarians8131	K23970
Cvarians302082	K13646
Cvarians20619	K15684
Cvarians277	K03686
Cvarians50991	K11647
Cvarians298714	K11997
Cvarians286384	K15542
Cvarians73787	K01674
Cvarians73208	K23404
Cvarians176676	K24674
Cvarians467665	K14965
Cvarians295401	K04496
Cvarians10169	K08133
Cvarians52118	K12619
Cvarians9414	K02930
Cvarians134445	K04515
Cvarians14162	K01648
Cvarians281873	K12472
Cvarians108016	K04437
Cvarians91715	K02154
Cvarians118305	K02938
Cvarians175989	K15255
Cvarians209175	K10575
Cvarians124863	K00864
Cvarians58360	K01759
Cvarians124986	K15503
Cvarians293061	K19678
Cvarians8764	K14020
Cvarians428805	K02955
Cvarians5776	K16684
Cvarians151651	K00101
Cvarians481963	K00030
Cvarians28005	K01227
Cvarians128526	K03128
Cvarians467134	K06997
Cvarians175467	K18406
Cvarians110176	K00799
Cvarians52467	K04646
Cvarians82670	K05617
Cvarians70865	K10268
Cvarians356245	K00873
Cvarians111315	K08794
Cvarians145946	K12191
Cvarians190728	K08051
Cvarians9796	K05695
Cvarians9554	K10380
Cvarians220640	K14026
Cvarians150343	K10408
Cvarians81697	K02941
Cvarians95653	K00934
Cvarians83788	K02893
Cvarians108543	K05699
Cvarians2740	K13176
Cvarians13250	K11162
Cvarians4832	K02677
Cvarians378354	K11886
Cvarians185180	K06640
Cvarians3540	K10133
Cvarians45391	K01754
Cvarians342257	K07199
Cvarians353168	K15119
Cvarians32005	K23342
Cvarians126117	K02262
Cvarians150775	K10400
Cvarians349824	K17285
Cvarians1897	K05103
Cvarians177425	K12898
Cvarians14663	K07252
Cvarians140368	K07497
Cvarians403408	K06911
Cvarians2677	K08683
Cvarians90187	K02908
Cvarians23744	K10956
Cvarians5884	K14962
Cvarians39804	K02427
Cvarians477372	K11885
Cvarians83523	K16289
Cvarians21130	K08059
Cvarians290960	K08741
Cvarians15811	K11855
Cvarians121075	K04511
Cvarians16576	K13912
Cvarians283173	K12847
Cvarians135180	K09490
Cvarians197791	K00036
Cvarians367985	K24047
Cvarians38069	K10591
Cvarians105141	K16910
Cvarians458698	K14792
Cvarians124223	K19029
Cvarians158114	K02111
Cvarians51025	K04078
Cvarians50965	K03011
Cvarians24460	K09497
Cvarians30655	K07937
Cvarians34340	K08796
Cvarians25435	K09848
Cvarians11088	K07305
Cvarians142580	K00261
Cvarians374088	K02997
Cvarians4014	K10104
Cvarians15845	K01336
Cvarians45330	K02369
Cvarians13723	K07575
Cvarians73908	K10380
Cvarians407445	K17341
Cvarians346434	K08568
Cvarians73298	K08467
Cvarians347037	K01872
Cvarians147054	K00131
Cvarians117399	K09624
Cvarians2322	K19514
Cvarians151085	K07941
Cvarians364005	K07200
Cvarians470299	K17795
Cvarians85743	K04534
Cvarians1899	K03953
Cvarians102705	K01875
Cvarians17591	K02514
Cvarians413818	K07831
Cvarians341863	K14753
Cvarians118525	K07936
Cvarians58776	K22615
Cvarians4440	K05695
Cvarians183369	K15361
Cvarians15536	K07497
Cvarians287326	K24265
Cvarians84274	K18668
Cvarians11179	K16276
Cvarians468354	K11092
Cvarians20826	K17592
Cvarians149452	K17293
Cvarians106559	K07897
Cvarians4029	K12132
Cvarians119192	K04508
Cvarians470656	K02737
Cvarians151295	K00281
Cvarians280713	K16865
Cvarians234428	K02873
Cvarians2482	K15196
Cvarians160195	K10418
Cvarians184342	K06580
Cvarians7408	K10396
Cvarians7366	K15201
Cvarians74821	K02326
Cvarians229398	K03265
Cvarians285441	K01672
Cvarians121989	K12862
Cvarians84340	K04498
Cvarians5199	K13506
Cvarians76282	K12133
Cvarians51343	K07198
Cvarians60960	K17533
Cvarians3170	K04464
Cvarians99560	K12818
Cvarians142385	K15109
Cvarians71697	K09228
Cvarians13239	K17497
Cvarians66851	K05863
Cvarians33065	K04593
Cvarians10295	K12200
Cvarians305978	K03143
Cvarians23119	K03010
Cvarians50478	K19625
Cvarians91330	K07497
Cvarians296904	K03066
Cvarians214280	K09385
Cvarians9042	K01539
Cvarians305129	K23488
Cvarians3329	K20353
Cvarians155474	K05125
Cvarians90646	K09624
Cvarians8146	K21889
Cvarians68806	K10956
Cvarians283837	K17608
Cvarians32951	K11416
Cvarians76347	K00079
Cvarians37095	K19467
Cvarians20324	K09201
Cvarians341166	K05012
Cvarians202560	K02875
Cvarians149323	K10362
Cvarians475272	K00262
Cvarians148990	K02870
Cvarians50627	K05236
Cvarians4494	K11835
Cvarians481737	K24032
Cvarians42902	K00799
Cvarians137644	K00033
Cvarians253806	K03010
Cvarians13387	K06997
Cvarians237788	K00559
Cvarians281427	K11204
Cvarians287673	K10591
Cvarians118909	K01866
Cvarians68487	K12486
Cvarians118196	K00033
Cvarians37263	K02941
Cvarians1380	K01466
Cvarians29368	K08017
Cvarians83962	K04739
Cvarians353213	K00025
Cvarians100302	K12035
Cvarians322753	K03172
Cvarians32672	K03955
Cvarians221579	K08056
Cvarians26604	K13912
Cvarians3291	K00134
Cvarians2317	K25058
Cvarians280	K22754
Cvarians7713	K12856
Cvarians24708	K20899
Cvarians471587	K03249
Cvarians3197	K08375
Cvarians83748	K08770
Cvarians116346	K09510
Cvarians33501	K11649
Cvarians22858	K16726
Cvarians24306	K17341
Cvarians105853	K14638
Cvarians53892	K13126
Cvarians36548	K14558
Cvarians52389	K20352
Cvarians119693	K00948
Cvarians11603	K06671
Cvarians107966	K00587
Cvarians187242	K03125
Cvarians113916	K03495
Cvarians117996	K23564
Cvarians15	K01187
Cvarians23437	K20899
Cvarians15611	K03572
Cvarians469597	K10693
Cvarians421143	K09553
Cvarians12862	K14713
Cvarians149934	K15376
Cvarians1111	K03172
Cvarians8646	K16726
Cvarians11811	K02214
Cvarians347976	K12492
Cvarians32189	K11824
Cvarians287	K06675
Cvarians346688	K15111
Cvarians1665	K00700
Cvarians255528	K02112
Cvarians151909	K10615
Cvarians101805	K07374
Cvarians3019	K01619
Cvarians417523	K24674
Cvarians412141	K06943
Cvarians5751	K07497
Cvarians188265	K11168
Cvarians226448	K04630
Cvarians17650	K17592
Cvarians22525	K16944
Cvarians70662	K07494
Cvarians58816	K20606
Cvarians5716	K12400
Cvarians169595	K12800
Cvarians220199	K14165
Cvarians138052	K02739
Cvarians280818	K10802
Cvarians37509	K12176
Cvarians105826	K14753
Cvarians172268	K06272
Cvarians9018	K08731
Cvarians151033	K12562
Cvarians42202	K03676
Cvarians313214	K05668
Cvarians29017	K01739
Cvarians351775	K11518
Cvarians116538	K14835
Cvarians300605	K11584
Cvarians54479	K08819
Cvarians118445	K10046
Cvarians40308	K17579
Cvarians81762	K06777
Cvarians225543	K10846
Cvarians192205	K02138
Cvarians466307	K02879
Cvarians45831	K24935
Cvarians44380	K07890
Cvarians466570	K02906
Cvarians108266	K04550
Cvarians29397	K09502
Cvarians52720	K01513
Cvarians220498	K00856
Cvarians7479	K03940
Cvarians150988	K02868
Cvarians95358	K11251
Cvarians110378	K01895
Cvarians357183	K02991
Cvarians158571	K05760
Cvarians13555	K04498
Cvarians16887	K03016
Cvarians128169	K19907
Cvarians4843	K06632
Cvarians312384	K03014
Cvarians43686	K00507
Cvarians102121	K12160
Cvarians154002	K13156
Cvarians348572	K14007
Cvarians214018	K22762
Cvarians4982	K15734
Cvarians93214	K17686
Cvarians427756	K03350
Cvarians283071	K06911
Cvarians29135	K14521
Cvarians212396	K10579
Cvarians104334	K06675
Cvarians14976	K11423
Cvarians37218	K17686
Cvarians292346	K00344
Cvarians18827	K01136
Cvarians24834	K22207
Cvarians10895	K00161
Cvarians461361	K02678
Cvarians346990	K13239
Cvarians415486	K17598
Cvarians303587	K02087
Cvarians169399	K10380
Cvarians368729	K02962
Cvarians21775	K03322
Cvarians48151	K07494
Cvarians10770	K08492
Cvarians19026	K03654
Cvarians31905	K00616
Cvarians296339	K00981
Cvarians16843	K15440
Cvarians16852	K14996
Cvarians1571	K03066
Cvarians421485	K12589
Cvarians476459	K17295
Cvarians229276	K10590
Cvarians71955	K20526
Cvarians183595	K15104
Cvarians320407	K02263
Cvarians147	K06820
Cvarians374174	K01027
Cvarians48348	K02893
Cvarians225032	K03572
Cvarians48606	K02947
Cvarians133461	K14704
Cvarians475361	K06970
Cvarians70836	K17807
Cvarians141740	K00318
Cvarians51430	K10443
Cvarians9327	K12199
Cvarians232567	K14407
Cvarians8726	K16621
Cvarians12831	K15176
Cvarians21967	K10455
Cvarians106471	K07937
Cvarians82018	K05099
Cvarians4630	K08463
Cvarians239295	K14802
Cvarians65879	K09848
Cvarians89591	K17341
Cvarians244421	K11088
Cvarians479251	K02736
Cvarians211717	K03935
Cvarians404352	K08051
Cvarians9960	K02870
Cvarians227808	K24501
Cvarians69810	K04382
Cvarians94164	K08869
Cvarians124507	K17302
Cvarians76843	K10627
Cvarians1374	K20308
Cvarians466744	K04393
Cvarians474283	K04984
Cvarians169811	K20098
Cvarians186009	K10773
Cvarians296810	K03929
Cvarians248416	K02207
Cvarians6404	K17583
Cvarians135799	K11481
Cvarians71209	K01363
Cvarians104622	K17080
Cvarians280245	K14540
Cvarians465009	K12585
Cvarians92630	K12134
Cvarians133819	K20456
Cvarians344834	K15110
Cvarians10910	K05734
Cvarians70308	K15691
Cvarians57170	K04592
Cvarians105919	K03283
Cvarians1694	K13720
Cvarians281547	K03066
Cvarians62304	K12837
Cvarians133576	K04712
Cvarians83541	K05863
Cvarians2548	K14213
Cvarians104383	K15190
Cvarians13954	K24470
Cvarians32182	K11131
Cvarians67073	K14945
Cvarians468889	K17623
Cvarians406052	K00344
Cvarians97431	K01874
Cvarians58127	K07562
Cvarians25350	K19761
Cvarians46170	K00507
Cvarians39641	K18663
Cvarians10527	K15153
Cvarians3139	K08843
Cvarians27407	K14445
Cvarians27018	K01468
Cvarians76634	K02144
Cvarians136102	K05759
Cvarians100614	K20044
Cvarians229021	K15449
Cvarians38498	K04659
Cvarians8231	K08997
Cvarians121183	K17086
Cvarians5966	K11251
Cvarians153747	K11884
Cvarians256532	K04077
Cvarians42323	K01011
Cvarians472520	K00728
Cvarians6156	K20865
Cvarians21691	K12175
Cvarians137749	K17530
Cvarians419468	K20223
Cvarians466748	K12751
Cvarians281464	K14802
Cvarians89366	K16343
Cvarians16786	K22558
Cvarians348911	K00162
Cvarians21011	K24674
Cvarians55688	K11997
Cvarians96594	K08764
Cvarians418815	K02871
Cvarians48406	K05110
Cvarians99849	K15048
Cvarians287998	K14838
Cvarians80306	K01770
Cvarians345755	K01596
Cvarians95542	K13447
Cvarians111348	K04515
Cvarians234439	K11344
Cvarians386506	K24048
Cvarians4069	K03768
Cvarians4172	K14354
Cvarians310987	K14689
Cvarians515	K12460
Cvarians421880	K10866
Cvarians59080	K10380
Cvarians119530	K16536
Cvarians410651	K06176
Cvarians152445	K14440
Cvarians79097	K02084
Cvarians251326	K20636
Cvarians201581	K08790
Cvarians408469	K16536
Cvarians221551	K17086
Cvarians11910	K20030
Cvarians59605	K07877
Cvarians226064	K10380
Cvarians340507	K01070
Cvarians23497	K07494
Cvarians173344	K22747
Cvarians413598	K02730
Cvarians37238	K02993
Cvarians221829	K20068
Cvarians159182	K03066
Cvarians12999	K06184
Cvarians132114	K00059
Cvarians42227	K24200
Cvarians180652	K11594
Cvarians18324	K03252
Cvarians26235	K14326
Cvarians17439	K11997
Cvarians17191	K08834
Cvarians166925	K02946
Cvarians342990	K02941
Cvarians291086	K07874
Cvarians506150	K09518
Cvarians336169	K05665
Cvarians174150	K11367
Cvarians32681	K05665
Cvarians39975	K24936
Cvarians119206	K00889
Cvarians7460	K16726
Cvarians1280	K23491
Cvarians509515	K04730
Cvarians433216	K02831
Cvarians11647	K08844
Cvarians110913	K09560
Cvarians94729	K04459
Cvarians21733	K08955
Cvarians109775	K20069
Cvarians27590	K24936
Cvarians299900	K03249
Cvarians24119	K16465
Cvarians5719	K17914
Cvarians53649	K10380
Cvarians138787	K03798
Cvarians32313	K09499
Cvarians52625	K17300
Cvarians106225	K06269
Cvarians90344	K14416
Cvarians125796	K17341
Cvarians5301	K11422
Cvarians141753	K05100
Cvarians56698	K01493
Cvarians58404	K05695
Cvarians58441	K09487
Cvarians372537	K14830
Cvarians133654	K12946
Cvarians33814	K08455
Cvarians62460	K07497
Cvarians70748	K06065
Cvarians35918	K24392
Cvarians4194	K14554
Cvarians192781	K01265
Cvarians461	K23488
Cvarians170290	K19867
Cvarians34262	K01135
Cvarians53814	K00962
Cvarians174225	K15692
Cvarians117770	K24470
Cvarians9573	K03260
Cvarians79574	K00798
Cvarians51803	K23380
Cvarians1485	K06765
Cvarians72551	K03021
Cvarians405539	K05592
Cvarians8417	K05115
Cvarians139606	K03234
Cvarians117351	K01251
Cvarians3817	K15617
Cvarians101193	K05349
Cvarians238921	K04958
Cvarians465592	K06689
Cvarians71905	K01883
Cvarians44735	K11134
Cvarians14441	K17086
Cvarians186654	K11450
Cvarians32860	K09565
Cvarians10750	K01227
Cvarians166495	K11450
Cvarians128393	K13241
Cvarians52316	K03124
Cvarians485128	K13111
Cvarians5282	K04515
Cvarians5224	K02936
Cvarians57706	K06062
Cvarians359361	K01672
Cvarians10175	K04097
Cvarians434848	K10765
Cvarians42508	K15501
Cvarians95551	K08739
Cvarians354742	K05662
Cvarians26401	K19801
Cvarians151999	K09584
Cvarians352504	K02183
Cvarians354639	K00915
Cvarians403934	K01513
Cvarians70510	K11996
Cvarians281641	K11806
Cvarians4481	K10158
Cvarians186515	K17501
Cvarians96332	K09057
Cvarians58527	K10598
Cvarians312578	K24523
Cvarians94666	K17307
Cvarians36252	K10901
Cvarians18923	K02604
Cvarians352043	K23677
Cvarians17277	K06130
Cvarians403886	K09663
Cvarians497597	K02977
Cvarians192626	K11650
Cvarians112444	K00306
Cvarians459068	K14537
Cvarians164634	K00477
Cvarians204402	K01756
Cvarians15213	K01256
Cvarians33067	K03008
Cvarians11583	K05695
Cvarians9340	K23287
Cvarians221784	K11838
Cvarians132196	K01586
Cvarians4828	K15172
Cvarians64059	K00031
Cvarians63560	K00232
Cvarians475385	K00006
Cvarians72356	K03132
Cvarians112920	K00451
Cvarians24997	K02866
Cvarians21641	K03106
Cvarians9914	K15195
Cvarians431230	K09497
Cvarians464232	K10956
Cvarians175405	K01689
Cvarians68254	K08794
Cvarians3709	K08857
Cvarians13463	K13619
Cvarians9601	K01491
Cvarians24626	K05643
Cvarians165952	K07407
Cvarians153398	K17689
Cvarians344452	K01915
Cvarians64443	K01204
Cvarians155652	K15040
Cvarians133910	K00643
Cvarians85887	K03259
Cvarians8944	K11801
Cvarians42327	K04393
Cvarians52835	K20994
Cvarians316993	K01965
Cvarians290271	K23029
Cvarians24462	K09396
Cvarians108818	K04712
Cvarians490590	K02377
Cvarians480043	K03131
Cvarians2236	K03177
Cvarians98653	K09624
Cvarians21109	K07050
Cvarians301759	K12405
Cvarians51420	K06820
Cvarians40516	K10734
Cvarians1044	K07200
Cvarians12905	K13103
Cvarians495396	K14810
Cvarians106138	K03237
Cvarians24753	K24523
Cvarians10923	K22017
Cvarians14302	K17535
Cvarians136839	K04397
Cvarians92715	K00164
Cvarians40579	K08848
Cvarians174215	K03178
Cvarians80526	K10949
Cvarians90899	K12869
Cvarians45746	K06664
Cvarians41411	K03174
Cvarians131830	K14557
Cvarians230917	K05855
Cvarians174440	K17065
Cvarians116033	K16726
Cvarians43475	K09624
Cvarians291936	K01008
Cvarians9677	K10148
Cvarians402578	K01196
Cvarians284850	K12231
Cvarians36747	K03801
Cvarians300554	K12398
Cvarians139875	K12373
Cvarians405222	K11703
Cvarians267452	K02736
Cvarians50178	K02997
Cvarians19386	K14541
Cvarians343282	K15631
Cvarians22455	K06545
Cvarians492208	K02180
Cvarians6550	K19371
Cvarians70432	K03144
Cvarians72342	K02910
Cvarians831	K04950
Cvarians342540	K00275
Cvarians414613	K01142
Cvarians169139	K21888
Cvarians220505	K10085
Cvarians254649	K10413
Cvarians262	K25356
Cvarians147084	K15426
Cvarians38663	K24047
Cvarians35733	K14769
Cvarians300044	K17302
Cvarians324382	K12348
Cvarians223866	K01672
Cvarians340407	K10684
Cvarians5543	K17607
Cvarians10283	K05673
Cvarians96427	K02875
Cvarians3068	K02876
Cvarians182381	K08840
Cvarians30230	K17969
Cvarians12117	K02154
Cvarians11315	K13154
Cvarians4622	K23330
Cvarians470354	K07955
Cvarians195354	K04742
Cvarians9026	K05100
Cvarians8611	K08796
Cvarians192675	K21772
Cvarians245346	K03132
Cvarians107625	K00036
Cvarians66078	K12303
Cvarians79753	K08843
Cvarians4301	K03444
Cvarians489738	K02985
Cvarians7877	K24226
Cvarians283247	K09580
Cvarians91207	K03234
Cvarians83315	K06753
Cvarians491051	K10413
Cvarians1546	K02150
Cvarians159978	K04829
Cvarians417701	K09207
Cvarians223701	K01366
Cvarians427428	K02896
Cvarians58312	K09829
Cvarians433336	K09553
Cvarians61852	K08794
Cvarians65288	K00698
Cvarians135248	K08838
Cvarians2419	K03870
Cvarians171355	K03883
Cvarians3613	K12035
Cvarians10548	K08770
Cvarians20794	K02208
Cvarians493595	K17757
Cvarians93455	K14510
Cvarians26184	K14638
Cvarians49025	K01760
Cvarians17032	K11456
Cvarians9237	K12379
Cvarians284463	K03660
Cvarians374871	K00207
Cvarians422994	K18753
Cvarians4788	K03540
Cvarians174315	K17790
Cvarians135713	K15306
Cvarians9996	K20359
Cvarians22489	K14803
Cvarians29375	K12828
Cvarians401966	K13201
Cvarians10686	K01969
Cvarians28256	K09366
Cvarians58061	K20603
Cvarians238367	K03037
Cvarians46579	K10380
Cvarians350342	K08766
Cvarians351749	K24611
Cvarians360535	K17495
Cvarians147445	K08770
Cvarians297994	K03028
Cvarians14910	K14848
Cvarians108150	K11168
Cvarians59763	K14567
Cvarians19084	K22399
Cvarians138454	K04461
Cvarians78809	K00820
Cvarians72523	K00262
Cvarians149206	K01322
Cvarians61030	K02256
Cvarians130700	K10080
Cvarians183950	K10661
Cvarians285655	K01336
Cvarians404692	K03650
Cvarians84306	K11292
Cvarians400909	K12820
Cvarians215777	K13539
Cvarians47552	K10420
Cvarians11024	K15542
Cvarians438073	K00507
Cvarians344286	K05657
Cvarians429007	K20051
Cvarians37400	K18423
Cvarians299021	K23028
Cvarians480521	K01074
Cvarians77421	K08193
Cvarians95032	K15009
Cvarians166322	K24050
Cvarians12258	K08507
Cvarians1708	K08838
Cvarians294759	K12132
Cvarians40413	K02112
Cvarians242781	K04353
Cvarians20717	K23342
Cvarians99356	K12856
Cvarians118204	K13411
Cvarians286925	K00503
Cvarians25176	K05643
Cvarians47951	K07964
Cvarians343794	K08789
Cvarians27853	K15680
Cvarians30770	K01539
Cvarians17652	K02433
Cvarians17340	K10380
Cvarians289102	K10380
Cvarians198398	K09553
Cvarians368262	K16865
Cvarians48104	K12823
Cvarians37647	K11857
Cvarians441395	K15296
Cvarians23409	K15279
Cvarians164544	K02434
Cvarians96635	K02737
Cvarians19913	K20190
Cvarians6671	K00058
Cvarians57953	K14293
Cvarians66257	K11997
Cvarians10438	K08848
Cvarians6438	K10251
Cvarians328624	K15621
Cvarians31884	K04459
Cvarians367760	K11722
Cvarians52313	K17285
Cvarians45646	K04371
Cvarians89344	K22615
Cvarians42932	K14793
Cvarians43789	K24510
Cvarians2355	K15920
Cvarians242124	K01692
Cvarians163979	K01464
Cvarians19509	K16462
Cvarians243981	K00457
Cvarians22352	K09230
Cvarians66404	K02940
Cvarians94156	K21797
Cvarians22288	K15430
Cvarians117719	K07277
Cvarians14992	K18422
Cvarians4371	K21915
Cvarians151649	K14379
Cvarians20853	K23929
Cvarians15390	K02437
Cvarians62028	K07497
Cvarians3792	K02956
Cvarians102411	K01539
Cvarians114035	K06252
Cvarians474271	K20358
Cvarians76065	K00384
Cvarians148516	K09553
Cvarians4964	K14286
Cvarians21267	K24780
Cvarians16837	K16550
Cvarians113758	K02256
Cvarians12877	K11338
Cvarians105201	K02940
Cvarians174944	K05613
Cvarians22966	K10413
Cvarians474255	K10610
Cvarians12464	K07839
Cvarians347438	K15176
Cvarians90226	K14638
Cvarians95809	K10380
Cvarians32419	K11450
Cvarians6099	K02540
Cvarians4147	K14397
Cvarians6256	K12401
Cvarians197562	K05643
Cvarians787	K01251
Cvarians12802	K20278
Cvarians56483	K10380
Cvarians17580	K07935
Cvarians74301	K13813
Cvarians1548	K20865
Cvarians13070	K10149
Cvarians118437	K08057
Cvarians5169	K11322
Cvarians193206	K04536
Cvarians61109	K14156
Cvarians109337	K08958
Cvarians163670	K07494
Cvarians27703	K09849
Cvarians421973	K20223
Cvarians26467	K17914
Cvarians71167	K11428
Cvarians58273	K10380
Cvarians33706	K02975
Cvarians348776	K00413
Cvarians123128	K14802
Cvarians176754	K08106
Cvarians470464	K14569
Cvarians10215	K00626
Cvarians51514	K15711
Cvarians89100	K01938
Cvarians128420	K08568
Cvarians76212	K09564
Cvarians27376	K12168
Cvarians85234	K06825
Cvarians141603	K03115
Cvarians230789	K01444
Cvarians242534	K12741
Cvarians67700	K07904
Cvarians302	K24333
Cvarians86609	K10772
Cvarians165291	K23379
Cvarians3642	K12590
Cvarians107550	K17302
Cvarians7858	K11827
Cvarians340449	K00164
Cvarians35451	K17943
Cvarians96784	K16570
Cvarians187327	K10770
Cvarians79104	K24874
Cvarians100751	K23924
Cvarians29864	K00567
Cvarians12280	K15596
Cvarians226889	K24023
Cvarians2365	K24936
Cvarians316530	K11324
Cvarians35826	K05546
Cvarians4009	K12850
Cvarians149038	K15047
Cvarians94119	K06271
Cvarians199043	K24469
Cvarians118835	K05719
Cvarians153612	K02151
Cvarians64967	K10251
Cvarians104399	K12198
Cvarians78296	K00643
Cvarians294429	K16506
Cvarians17085	K05665
Cvarians24526	K14293
Cvarians53716	K07497
Cvarians31698	K03267
Cvarians156941	K00773
Cvarians107316	K14837
Cvarians98400	K00102
Cvarians404622	K17704
Cvarians22140	K23554
Cvarians52363	K20044
Cvarians13911	K07497
Cvarians403156	K05605
Cvarians413471	K22762
Cvarians25790	K05681
Cvarians31946	K13983
Cvarians3575	K05410
Cvarians248306	K02993
Cvarians117326	K08495
Cvarians78292	K03263
Cvarians37252	K09553
Cvarians226681	K03354
Cvarians91362	K16197
Cvarians4038	K14258
Cvarians91798	K13051
Cvarians46846	K03686
Cvarians12221	K23114
Cvarians307717	K24730
Cvarians292776	K12041
Cvarians149367	K09572
Cvarians46848	K00797
Cvarians153489	K14016
Cvarians59412	K13811
Cvarians401442	K04615
Cvarians175218	K04382
Cvarians485922	K08513
Cvarians118991	K08796
Cvarians17048	K09848
Cvarians410342	K00253
Cvarians6241	K05931
Cvarians49012	K13703
Cvarians5668	K18260
Cvarians104070	K17102
Cvarians46474	K06942
Cvarians60455	K07494
Cvarians362140	K17277
Cvarians117874	K05749
Cvarians281697	K04431
Cvarians57498	K22544
Cvarians2360	K16343
Cvarians99655	K18466
Cvarians401847	K17544
Cvarians280345	K00815
Cvarians49446	K07375
Cvarians27857	K11345
Cvarians341834	K03936
Cvarians14376	K05948
Cvarians384643	K06942
Cvarians30349	K20106
Cvarians25064	K24224
Cvarians92864	K15261
Cvarians36663	K08065
Cvarians348661	K01251
Cvarians482960	K08796
Cvarians226911	K24104
Cvarians164120	K03841
Cvarians59936	K00556
Cvarians408293	K16302
Cvarians68773	K22754
Cvarians32733	K13566
Cvarians18020	K10649
Cvarians60965	K05662
Cvarians224333	K11293
Cvarians101358	K13411
Cvarians400496	K01885
Cvarians13827	K06485
Cvarians15355	K24728
Cvarians81160	K10356
Cvarians479926	K18261
Cvarians438576	K14401
Cvarians57316	K06762
Cvarians49972	K17261
Cvarians228949	K13411
Cvarians14722	K01961
Cvarians404226	K11423
Cvarians67086	K04078
Cvarians26607	K14561
Cvarians343771	K09485
Cvarians11735	K20347
Cvarians316393	K06168
Cvarians292787	K22936
Cvarians241233	K00162
Cvarians249373	K19636
Cvarians153734	K08832
Cvarians108632	K12179
Cvarians77926	K03831
Cvarians6394	K01647
Cvarians4994	K08490
Cvarians103564	K05759
Cvarians131148	K24469
Cvarians401482	K09602
Cvarians313566	K03234
Cvarians102563	K00382
Cvarians478232	K17285
Cvarians131555	K05676
Cvarians179377	K12398
Cvarians234218	K10523
Cvarians11224	K01011
Cvarians22673	K11805
Cvarians416709	K02882
Cvarians34283	K10380
Cvarians120624	K14455
Cvarians344873	K17461
Cvarians95796	K12132
Cvarians235686	K10788
Cvarians45427	K14838
Cvarians81677	K00128
Cvarians149711	K15102
Cvarians8686	K00901
Cvarians347859	K01057
Cvarians299236	K00962
Cvarians28441	K19041
Cvarians23181	K20791
Cvarians201406	K03015
Cvarians358658	K20703
Cvarians110837	K02183
Cvarians25048	K10800
Cvarians55797	K03246
Cvarians345009	K03259
Cvarians355733	K14376
Cvarians458277	K20028
Cvarians3098	K10956
Cvarians110746	K03231
Cvarians351170	K01279
Cvarians133336	K10707
Cvarians340877	K04345
Cvarians296248	K04550
Cvarians363850	K02937
Cvarians9699	K01889
Cvarians462970	K20178
Cvarians2448	K01869
Cvarians79764	K20412
Cvarians1727	K09624
Cvarians233350	K13886
Cvarians3260	K01303
Cvarians16356	K14572
Cvarians196797	K23691
Cvarians136493	K12585
Cvarians36998	K06694
Cvarians65448	K03037
Cvarians7570	K23883
Cvarians313971	K01907
Cvarians16410	K15335
Cvarians200809	K12869
Cvarians56778	K14411
Cvarians9078	K14639
Cvarians480938	K11835
Cvarians16765	K12399
Cvarians373017	K00207
Cvarians102985	K02883
Cvarians130711	K10380
Cvarians75856	K10573
Cvarians120674	K15296
Cvarians31431	K03099
Cvarians15328	K03685
Cvarians299034	K11984
Cvarians83453	K17339
Cvarians154995	K12193
Cvarians127251	K00861
Cvarians9397	K08856
Cvarians285393	K14768
Cvarians11701	K06171
Cvarians22120	K12881
Cvarians35773	K17759
Cvarians2949	K09493
Cvarians75219	K05592
Cvarians220341	K24723
Cvarians307554	K15157
Cvarians8840	K04371
Cvarians128949	K00729
Cvarians6475	K04851
Cvarians21417	K13912
Cvarians51196	K20792
Cvarians286102	K23624
Cvarians14534	K03246
Cvarians186663	K06174
Cvarians71290	K07497
Cvarians17839	K00451
Cvarians137924	K04646
Cvarians39576	K07488
Cvarians128600	K18442
Cvarians63526	K06990
Cvarians1048	K15691
Cvarians35255	K01658
Cvarians18118	K22665
Cvarians7191	K17759
Cvarians87453	K08367
Cvarians443166	K03258
