Gerakladium170031	K08798
Gerakladium84590	K10807
Gerakladium6583	K09699
Gerakladium155950	K01783
Gerakladium152580	K00821
Gerakladium21139	K10737
Gerakladium222252	K04739
Gerakladium159760	K16465
Gerakladium14824	K01363
Gerakladium50119	K07889
Gerakladium85144	K12460
Gerakladium90908	K03070
Gerakladium189347	K02888
Gerakladium32162	K00545
Gerakladium309	K01915
Gerakladium6658	K22762
Gerakladium211426	K01358
Gerakladium167881	K04841
Gerakladium75545	K09503
Gerakladium18868	K04079
Gerakladium15872	K08798
Gerakladium133243	K22833
Gerakladium89471	K14648
Gerakladium171854	K22763
Gerakladium192343	K17278
Gerakladium97264	K22762
Gerakladium134596	K01365
Gerakladium31063	K03696
Gerakladium130798	K08176
Gerakladium156545	K04460
Gerakladium18005	K17630
Gerakladium9124	K14209
Gerakladium153794	K01586
Gerakladium155432	K02114
Gerakladium53187	K14407
Gerakladium54309	K04615
Gerakladium107029	K09568
Gerakladium169874	K05349
Gerakladium148737	K00837
Gerakladium33571	K00053
Gerakladium205959	K10592
Gerakladium138049	K01802
Gerakladium149245	K12821
Gerakladium171865	K09580
Gerakladium206259	K06180
Gerakladium133874	K17943
Gerakladium23726	K02639
Gerakladium18603	K01462
Gerakladium151994	K22378
Gerakladium9804	K24104
Gerakladium3271	K18272
Gerakladium15182	K04851
Gerakladium18805	K09503
Gerakladium48153	K15377
Gerakladium185363	K10798
Gerakladium16980	K10380
Gerakladium124438	K02493
Gerakladium20740	K00710
Gerakladium307	K00322
Gerakladium21138	K11527
Gerakladium67945	K09503
Gerakladium130660	K04892
Gerakladium19772	K15701
Gerakladium10375	K15284
Gerakladium38717	K02183
Gerakladium70368	K10534
Gerakladium12576	K04840
Gerakladium209275	K08139
Gerakladium169154	K01076
Gerakladium207603	K25380
Gerakladium149637	K15102
Gerakladium8379	K11136
Gerakladium70839	K06180
Gerakladium170694	K00972
Gerakladium10118	K09608
Gerakladium211810	K00898
Gerakladium169452	K22857
Gerakladium31	K14944
Gerakladium41218	K03627
Gerakladium191880	K04460
Gerakladium23530	K24956
Gerakladium212915	K00545
Gerakladium186973	K04892
Gerakladium51449	K20029
Gerakladium188114	K02372
Gerakladium9446	K04908
Gerakladium118882	K03686
Gerakladium149174	K03978
Gerakladium211472	K12524
Gerakladium219327	K02903
Gerakladium162130	K13412
Gerakladium86992	K01637
Gerakladium5353	K01379
Gerakladium72335	K06183
Gerakladium14401	K21862
Gerakladium42990	K15047
Gerakladium117980	K18849
Gerakladium149431	K06047
Gerakladium109703	K08582
Gerakladium14292	K13748
Gerakladium6247	K17943
Gerakladium16143	K02183
Gerakladium31174	K02940
Gerakladium205181	K10380
Gerakladium90276	K03626
Gerakladium12018	K24427
Gerakladium118082	K13207
Gerakladium206633	K20363
Gerakladium11439	K09480
Gerakladium26357	K14683
Gerakladium116783	K17609
Gerakladium160478	K03798
Gerakladium24658	K19673
Gerakladium71066	K12132
Gerakladium130712	K11000
Gerakladium113584	K11592
Gerakladium17475	K21486
Gerakladium113445	K02471
Gerakladium44769	K01135
Gerakladium25129	K02155
Gerakladium152307	K02943
Gerakladium16028	K03438
Gerakladium11541	K01408
Gerakladium15034	K22127
Gerakladium156846	K06130
Gerakladium113540	K14570
Gerakladium75129	K22762
Gerakladium46064	K16726
Gerakladium111535	K03321
Gerakladium130631	K00750
Gerakladium5994	K22745
Gerakladium1732	K01537
Gerakladium186469	K21862
Gerakladium134578	K21866
Gerakladium72838	K00026
Gerakladium11116	K15083
Gerakladium3845	K09490
Gerakladium23411	K23257
Gerakladium34336	K09503
Gerakladium143992	K11628
Gerakladium28274	K04955
Gerakladium45527	K08994
Gerakladium14601	K05544
Gerakladium72935	K01738
Gerakladium5703	K05677
Gerakladium194487	K09568
Gerakladium131708	K01176
Gerakladium76131	K01759
Gerakladium55845	K00133
Gerakladium12285	K05941
Gerakladium22309	K12375
Gerakladium13920	K00856
Gerakladium149726	K12132
Gerakladium27754	K10380
Gerakladium10917	K09582
Gerakladium4546	K00471
Gerakladium167253	K06685
Gerakladium135981	K04936
Gerakladium188079	K04885
Gerakladium163108	K15263
Gerakladium115036	K17943
Gerakladium17305	K20989
Gerakladium195582	K00472
Gerakladium22619	K14963
Gerakladium8365	K04461
Gerakladium214655	K04461
Gerakladium382	K04043
Gerakladium38542	K13539
Gerakladium167058	K10949
Gerakladium132536	K05389
Gerakladium186173	K14963
Gerakladium12437	K04840
Gerakladium410	K02891
Gerakladium208974	K19626
Gerakladium4339	K13412
Gerakladium133853	K03424
Gerakladium14784	K15920
Gerakladium33758	K02184
Gerakladium30836	K15281
Gerakladium131666	K10380
Gerakladium9303	K01311
Gerakladium209642	K03033
Gerakladium1335	K10960
Gerakladium3610	K09667
Gerakladium111602	K11172
Gerakladium7880	K20027
Gerakladium32375	K02706
Gerakladium18505	K00873
Gerakladium119321	K07305
Gerakladium58282	K20826
Gerakladium18390	K08845
Gerakladium116887	K12960
Gerakladium35033	K24758
Gerakladium116023	K04840
Gerakladium171422	K00059
Gerakladium19007	K00472
Gerakladium109416	K04955
Gerakladium102978	K00088
Gerakladium115918	K23002
Gerakladium185221	K09838
Gerakladium25209	K09753
Gerakladium186148	K18208
Gerakladium176	K02641
Gerakladium5761	K02693
Gerakladium189056	K24392
Gerakladium7134	K04843
Gerakladium104485	K22390
Gerakladium186146	K04892
Gerakladium220999	K11000
Gerakladium71075	K16608
Gerakladium61964	K04079
Gerakladium34042	K15667
Gerakladium208078	K03686
Gerakladium1537	K03235
Gerakladium208914	K11843
Gerakladium13385	K00264
Gerakladium12281	K11000
Gerakladium186191	K03762
Gerakladium114243	K08794
Gerakladium1915	K19759
Gerakladium57009	K14423
Gerakladium131180	K09592
Gerakladium149094	K14648
Gerakladium50891	K13800
Gerakladium95640	K02989
Gerakladium186961	K12410
Gerakladium115375	K17506
Gerakladium171255	K10768
Gerakladium48677	K11163
Gerakladium207720	K02523
Gerakladium190655	K13412
Gerakladium167921	K10704
Gerakladium190227	K13615
Gerakladium170638	K08957
Gerakladium148620	K03514
Gerakladium6136	K00856
Gerakladium170	K14079
Gerakladium53307	K03284
Gerakladium54577	K06974
Gerakladium131677	K05534
Gerakladium137111	K01738
Gerakladium4924	K02993
Gerakladium18721	K13611
Gerakladium111954	K12443
Gerakladium185026	K21862
Gerakladium153514	K10770
Gerakladium151748	K02303
Gerakladium111638	K15656
Gerakladium22271	K00889
Gerakladium150587	K19760
Gerakladium133531	K00026
Gerakladium113844	K00476
Gerakladium215636	K03686
Gerakladium112802	K17911
Gerakladium44042	K16608
Gerakladium15188	K04515
Gerakladium187204	K14856
Gerakladium6121	K03163
Gerakladium168813	K08176
Gerakladium33637	K22684
Gerakladium3402	K12817
Gerakladium106322	K06173
Gerakladium30144	K01775
Gerakladium205708	K00699
Gerakladium20970	K11136
Gerakladium82356	K00942
Gerakladium13668	K01365
Gerakladium41378	K01519
Gerakladium134351	K07305
Gerakladium94646	K03320
Gerakladium2237	K02720
Gerakladium117925	K14411
Gerakladium14485	K01710
Gerakladium149092	K00326
Gerakladium8790	K07374
Gerakladium208051	K00645
Gerakladium122249	K13107
Gerakladium43221	K02991
Gerakladium112892	K02183
Gerakladium168041	K03000
Gerakladium170457	K24553
Gerakladium42667	K01408
Gerakladium134500	K11169
Gerakladium111585	K10380
Gerakladium210878	K03768
Gerakladium123517	K07252
Gerakladium131299	K11160
Gerakladium3097	K03263
Gerakladium186661	K17341
Gerakladium219028	K19745
Gerakladium149443	K10615
Gerakladium150904	K07766
Gerakladium215801	K05849
Gerakladium207917	K17094
Gerakladium189235	K08857
Gerakladium148	K02940
Gerakladium5669	K04905
Gerakladium131839	K11426
Gerakladium545	K02883
Gerakladium122138	K15113
Gerakladium244	K04802
Gerakladium112274	K22366
Gerakladium9725	K05841
Gerakladium52056	K10860
Gerakladium111195	K24205
Gerakladium190041	K07944
Gerakladium167825	K01569
Gerakladium105131	K01953
Gerakladium2502	K07198
Gerakladium7715	K14575
Gerakladium58635	K01637
Gerakladium31907	K13412
Gerakladium185118	K03869
Gerakladium59759	K21803
Gerakladium112976	K19502
Gerakladium4704	K04512
Gerakladium72962	K12460
Gerakladium214517	K03235
Gerakladium150960	K19750
Gerakladium5774	K01256
Gerakladium60015	K08863
Gerakladium44750	K04460
Gerakladium42045	K05954
Gerakladium13598	K05340
Gerakladium158804	K08596
Gerakladium213436	K21436
Gerakladium2670	K04855
Gerakladium13378	K08906
Gerakladium10848	K03686
Gerakladium185986	K02040
Gerakladium46335	K08624
Gerakladium207977	K02213
Gerakladium31049	K13750
Gerakladium12888	K07393
Gerakladium31559	K10380
Gerakladium8727	K13750
Gerakladium2465	K02355
Gerakladium208390	K19430
Gerakladium9429	K04456
Gerakladium127614	K03695
Gerakladium151221	K08139
Gerakladium26671	K03235
Gerakladium42073	K01610
Gerakladium250	K04908
Gerakladium175124	K11703
Gerakladium2220	K02184
Gerakladium180303	K04421
Gerakladium158770	K12817
Gerakladium113592	K09812
Gerakladium91640	K02155
Gerakladium148988	K03691
Gerakladium47986	K07374
Gerakladium25763	K20715
Gerakladium21087	K01365
Gerakladium170466	K02875
Gerakladium111197	K20404
Gerakladium130673	K10523
Gerakladium38641	K08341
Gerakladium154563	K15046
Gerakladium155305	K10756
Gerakladium164508	K01915
Gerakladium59114	K14326
Gerakladium168157	K17943
Gerakladium207134	K22745
Gerakladium150836	K07759
Gerakladium142840	K09486
Gerakladium66432	K21456
Gerakladium188437	K05605
Gerakladium53842	K10370
Gerakladium38008	K11434
Gerakladium162054	K05592
Gerakladium153237	K00908
Gerakladium188060	K17535
Gerakladium38740	K01534
Gerakladium136629	K09571
Gerakladium51812	K08172
Gerakladium112045	K04348
Gerakladium140958	K09489
Gerakladium206912	K04908
Gerakladium167078	K09578
Gerakladium131624	K15015
Gerakladium169293	K23965
Gerakladium96955	K10380
Gerakladium49938	K10380
Gerakladium117039	K12035
Gerakladium9911	K00472
Gerakladium149025	K01945
Gerakladium5887	K14802
Gerakladium206722	K12567
Gerakladium35606	K03164
Gerakladium185977	K07305
Gerakladium4739	K08585
Gerakladium152508	K06180
Gerakladium150206	K19199
Gerakladium34397	K02694
Gerakladium209666	K22763
Gerakladium132714	K10407
Gerakladium132831	K00306
Gerakladium19483	K10967
Gerakladium207811	K11170
Gerakladium187609	K14293
Gerakladium171265	K06180
Gerakladium16911	K17544
Gerakladium16294	K10380
Gerakladium205269	K16810
Gerakladium4489	K04799
Gerakladium14771	K15377
Gerakladium205192	K03327
Gerakladium189704	K14379
Gerakladium45104	K01802
Gerakladium15407	K23308
Gerakladium32250	K00476
Gerakladium185063	K08139
Gerakladium371	K16290
Gerakladium78373	K00789
Gerakladium4914	K21989
Gerakladium7302	K03924
Gerakladium32149	K05841
Gerakladium4556	K02872
Gerakladium1063	K00026
Gerakladium7068	K24976
Gerakladium979	K20843
Gerakladium185671	K01192
Gerakladium132573	K01210
Gerakladium31544	K08654
Gerakladium212580	K07874
Gerakladium99149	K20359
Gerakladium98641	K01535
Gerakladium60871	K00703
Gerakladium150423	K25230
Gerakladium187148	K15377
Gerakladium3084	K10380
Gerakladium14495	K01623
Gerakladium44593	K04780
Gerakladium8613	K10380
Gerakladium10856	K04688
Gerakladium154628	K08869
Gerakladium216617	K01802
Gerakladium168513	K14207
Gerakladium168630	K05516
Gerakladium96466	K01922
Gerakladium24626	K08057
Gerakladium8112	K11826
Gerakladium140495	K14753
Gerakladium55307	K08059
Gerakladium151727	K08958
Gerakladium48292	K14837
Gerakladium208449	K17500
Gerakladium152216	K00939
Gerakladium112061	K12567
Gerakladium66246	K01006
Gerakladium11823	K20285
Gerakladium74952	K03362
Gerakladium172968	K12832
Gerakladium2560	K14718
Gerakladium111288	K10572
Gerakladium189248	K03260
Gerakladium186354	K24427
Gerakladium3619	K01135
Gerakladium11077	K14724
Gerakladium111719	K11824
Gerakladium4990	K07376
Gerakladium579	K01363
Gerakladium70776	K01176
Gerakladium11667	K10716
Gerakladium114230	K07198
Gerakladium115056	K14079
Gerakladium208112	K02945
Gerakladium154800	K08716
Gerakladium135309	K23257
Gerakladium185201	K03036
Gerakladium113313	K04833
Gerakladium136306	K24539
Gerakladium119104	K24929
Gerakladium154457	K09553
Gerakladium210569	K10900
Gerakladium169035	K14016
Gerakladium297	K15665
Gerakladium9226	K21289
Gerakladium209425	K01523
Gerakladium38193	K01720
Gerakladium167801	K04957
Gerakladium10255	K15535
Gerakladium187287	K12323
Gerakladium7825	K15505
Gerakladium3344	K04706
Gerakladium45383	K03737
Gerakladium4252	K10380
Gerakladium12676	K09514
Gerakladium33063	K15032
Gerakladium33209	K24509
Gerakladium174137	K08151
Gerakladium193491	K19513
Gerakladium14026	K13412
Gerakladium54660	K16290
Gerakladium40820	K14753
Gerakladium149568	K20352
Gerakladium22745	K06180
Gerakladium137491	K15692
Gerakladium1784	K02917
Gerakladium171181	K13412
Gerakladium11747	K00545
Gerakladium26991	K04951
Gerakladium12273	K01251
Gerakladium12265	K00645
Gerakladium133657	K09540
Gerakladium189738	K05516
Gerakladium187169	K18740
Gerakladium16430	K19269
Gerakladium133339	K10799
Gerakladium115860	K13354
Gerakladium67883	K02998
Gerakladium208623	K01620
Gerakladium9977	K08994
Gerakladium131673	K11187
Gerakladium153340	K17535
Gerakladium107633	K03773
Gerakladium156417	K00031
Gerakladium11494	K11836
Gerakladium1124	K05011
Gerakladium26171	K04739
Gerakladium71470	K17506
Gerakladium16426	K14938
Gerakladium132876	K10380
Gerakladium219826	K10799
Gerakladium155004	K10523
Gerakladium160744	K13412
Gerakladium111747	K14209
Gerakladium10066	K05312
Gerakladium150011	K09628
Gerakladium205317	K10380
Gerakladium32556	K04459
Gerakladium205920	K05236
Gerakladium37873	K10380
Gerakladium3095	K01365
Gerakladium206796	K24757
Gerakladium138093	K10380
Gerakladium3816	K16602
Gerakladium149172	K15710
Gerakladium156871	K07507
Gerakladium8827	K12823
Gerakladium186020	K19759
Gerakladium22295	K05349
Gerakladium134360	K12567
Gerakladium193823	K23330
Gerakladium154514	K02183
Gerakladium457	K06158
Gerakladium52872	K03768
Gerakladium54236	K03321
Gerakladium61072	K01176
Gerakladium187636	K12443
Gerakladium130692	K08794
Gerakladium6353	K04739
Gerakladium4098	K13984
Gerakladium8906	K05349
Gerakladium150912	K08799
Gerakladium44030	K25378
Gerakladium99721	K03500
Gerakladium57179	K13412
Gerakladium192634	K14944
Gerakladium7408	K17506
Gerakladium111659	K03553
Gerakladium33919	K14617
Gerakladium28208	K21436
Gerakladium169986	K09571
Gerakladium20268	K23741
Gerakladium1599	K07407
Gerakladium175295	K01377
Gerakladium207077	K09839
Gerakladium214208	K00432
Gerakladium168931	K08884
Gerakladium193216	K10523
Gerakladium209358	K14994
Gerakladium43191	K14206
Gerakladium34998	K19199
Gerakladium186821	K00700
Gerakladium49897	K23025
Gerakladium113541	K00645
Gerakladium2092	K03438
Gerakladium13047	K14326
Gerakladium13212	K10380
Gerakladium197	K02694
Gerakladium191099	K13412
Gerakladium133577	K07376
Gerakladium154879	K02735
Gerakladium195234	K04371
Gerakladium205969	K03686
Gerakladium56929	K12599
Gerakladium167920	K15397
Gerakladium45296	K14079
Gerakladium85083	K12873
Gerakladium16382	K23330
Gerakladium41973	K03234
Gerakladium50461	K22763
Gerakladium14150	K16457
Gerakladium98905	K10380
Gerakladium140312	K00799
Gerakladium115516	K01768
Gerakladium53061	K03768
Gerakladium217106	K21064
Gerakladium85	K21952
Gerakladium173858	K06689
Gerakladium213783	K04523
Gerakladium189254	K15042
Gerakladium133649	K02735
Gerakladium25183	K20099
Gerakladium50537	K14820
Gerakladium13222	K00612
Gerakladium29633	K01915
Gerakladium188327	K01216
Gerakladium168878	K13412
Gerakladium154281	K09580
Gerakladium61205	K04409
Gerakladium32206	K01408
Gerakladium16069	K05349
Gerakladium113067	K06978
Gerakladium9098	K22390
Gerakladium135212	K03026
Gerakladium154850	K04955
Gerakladium9810	K10380
Gerakladium207293	K21867
Gerakladium205730	K00948
Gerakladium188216	K14537
Gerakladium21367	K19680
Gerakladium171193	K12451
Gerakladium4221	K02183
Gerakladium4205	K03575
Gerakladium15371	K04739
Gerakladium132309	K00116
Gerakladium2053	K00472
Gerakladium22671	K04460
Gerakladium190211	K11155
Gerakladium155624	K01377
Gerakladium2239	K01802
Gerakladium132454	K10380
Gerakladium15617	K06258
Gerakladium134585	K08803
Gerakladium190493	K03163
Gerakladium152249	K10252
Gerakladium11973	K13800
Gerakladium114400	K00645
Gerakladium20786	K06677
Gerakladium210380	K08869
Gerakladium151809	K08292
Gerakladium209743	K00224
Gerakladium176406	K06965
Gerakladium1497	K17839
Gerakladium131294	K01769
Gerakladium188374	K23490
Gerakladium148773	K14539
Gerakladium65	K00939
Gerakladium47	K01135
Gerakladium205167	K04855
Gerakladium175623	K09586
Gerakladium13204	K25378
Gerakladium34026	K08908
Gerakladium187061	K14855
Gerakladium15891	K00710
Gerakladium167086	K16726
Gerakladium186612	K10799
Gerakladium124066	K17964
Gerakladium31768	K20032
Gerakladium144160	K12891
Gerakladium185281	K07376
Gerakladium186257	K03455
Gerakladium54055	K21989
Gerakladium114556	K03246
Gerakladium212532	K00927
Gerakladium15065	K15711
Gerakladium151117	K04856
Gerakladium76245	K18055
Gerakladium35637	K00831
Gerakladium212456	K08176
Gerakladium32460	K06180
Gerakladium172901	K21760
Gerakladium148957	K15013
Gerakladium2770	K16462
Gerakladium31481	K13412
Gerakladium1122	K02708
Gerakladium205939	K15666
Gerakladium43877	K00026
Gerakladium15008	K14411
Gerakladium139494	K00545
Gerakladium82607	K02922
Gerakladium4215	K23330
Gerakladium186451	K10380
Gerakladium1680	K13071
Gerakladium13501	K07783
Gerakladium704	K12132
Gerakladium8711	K13126
Gerakladium8361	K15102
Gerakladium213833	K00326
Gerakladium73798	K02997
Gerakladium53168	K02108
Gerakladium99487	K22809
Gerakladium135215	K01358
Gerakladium46176	K17943
Gerakladium8155	K12132
Gerakladium9848	K10456
Gerakladium2421	K02692
Gerakladium13555	K21440
Gerakladium55310	K04885
Gerakladium6613	K03260
Gerakladium133790	K02991
Gerakladium33004	K06941
Gerakladium66571	K12603
Gerakladium67289	K11406
Gerakladium2866	K17550
Gerakladium90066	K01537
Gerakladium13998	K00218
Gerakladium80191	K01624
Gerakladium210453	K00224
Gerakladium43751	K10573
Gerakladium24044	K14411
Gerakladium135120	K04739
Gerakladium6160	K03762
Gerakladium27806	K17710
Gerakladium71467	K01934
Gerakladium16803	K24353
Gerakladium2523	K04850
Gerakladium71069	K14556
Gerakladium167787	K04955
Gerakladium31707	K00914
Gerakladium199696	K04077
Gerakladium53848	K16726
Gerakladium130816	K19027
Gerakladium19582	K10380
Gerakladium185452	K01676
Gerakladium2911	K04957
Gerakladium186323	K10860
Gerakladium117128	K03686
Gerakladium29247	K18740
Gerakladium207042	K17499
Gerakladium5388	K00761
Gerakladium153835	K10799
Gerakladium8977	K03283
Gerakladium1926	K08857
Gerakladium40153	K03321
Gerakladium10911	K24846
Gerakladium45937	K21440
Gerakladium205141	K15920
Gerakladium8318	K10380
Gerakladium209207	K17943
Gerakladium130759	K02945
Gerakladium32514	K07198
Gerakladium215717	K00969
Gerakladium186987	K15398
Gerakladium114457	K00826
Gerakladium48574	K04419
Gerakladium132196	K20416
Gerakladium111469	K09838
Gerakladium19978	K13412
Gerakladium7044	K03626
Gerakladium57630	K00710
Gerakladium1413	K04990
Gerakladium5412	K19025
Gerakladium12723	K14012
Gerakladium177541	K05000
Gerakladium220434	K21440
Gerakladium190288	K02950
Gerakladium126	K10380
Gerakladium134569	K14782
Gerakladium73435	K05389
Gerakladium134895	K06911
Gerakladium31451	K12035
Gerakladium116215	K12177
Gerakladium224145	K00630
Gerakladium3072	K00703
Gerakladium205848	K04853
Gerakladium112161	K10756
Gerakladium186654	K13154
Gerakladium153831	K14298
Gerakladium123685	K00362
Gerakladium23076	K02932
Gerakladium131283	K12394
Gerakladium172261	K14797
Gerakladium60358	K05658
Gerakladium148743	K07893
Gerakladium123498	K03696
Gerakladium2324	K01507
Gerakladium11361	K14637
Gerakladium73323	K06180
Gerakladium116168	K00765
Gerakladium98628	K04905
Gerakladium59093	K03438
Gerakladium149166	K08857
Gerakladium185541	K04986
Gerakladium137486	K00476
Gerakladium167899	K05849
Gerakladium2922	K04981
Gerakladium187387	K03686
Gerakladium18467	K00503
Gerakladium212985	K15445
Gerakladium12562	K05633
Gerakladium45315	K19525
Gerakladium26208	K06180
Gerakladium116298	K13412
Gerakladium33836	K12483
Gerakladium22183	K01204
Gerakladium149057	K02183
Gerakladium24914	K22763
Gerakladium28934	K06180
Gerakladium210966	K07647
Gerakladium207598	K14006
Gerakladium85244	K06180
Gerakladium131954	K02703
Gerakladium211767	K10768
Gerakladium43291	K24683
Gerakladium19063	K01462
Gerakladium100726	K10838
Gerakladium185365	K13205
Gerakladium218139	K14563
Gerakladium209880	K01379
Gerakladium4407	K16289
Gerakladium34205	K04885
Gerakladium99974	K01738
Gerakladium2450	K13207
Gerakladium112632	K03248
Gerakladium60141	K06941
Gerakladium130838	K20028
Gerakladium138505	K09503
Gerakladium185160	K12837
Gerakladium11393	K06070
Gerakladium134553	K05812
Gerakladium185509	K04951
Gerakladium105556	K19219
Gerakladium47160	K10408
Gerakladium167149	K17508
Gerakladium153464	K07375
Gerakladium243	K02901
Gerakladium111554	K01768
Gerakladium45898	K15422
Gerakladium131260	K00898
Gerakladium14176	K11086
Gerakladium18574	K11437
Gerakladium133164	K15537
Gerakladium223130	K13412
Gerakladium115880	K08869
Gerakladium65566	K03978
Gerakladium118468	K04856
Gerakladium115652	K00898
Gerakladium135885	K00472
Gerakladium19579	K06711
Gerakladium175677	K02726
Gerakladium189901	K06515
Gerakladium20754	K06180
Gerakladium80439	K04997
Gerakladium111299	K01379
Gerakladium205288	K18052
Gerakladium133192	K11703
Gerakladium8723	K13412
Gerakladium206704	K02183
Gerakladium192240	K09584
Gerakladium70573	K04427
Gerakladium111738	K07376
Gerakladium132078	K08796
Gerakladium257	K17943
Gerakladium34043	K09580
Gerakladium130873	K16726
Gerakladium169007	K12132
Gerakladium18350	K06158
Gerakladium92082	K01535
Gerakladium54231	K00710
Gerakladium109888	K00381
Gerakladium204992	K04840
Gerakladium9089	K08798
Gerakladium139532	K04523
Gerakladium6300	K08214
Gerakladium65755	K06413
Gerakladium149497	K24205
Gerakladium18372	K06180
Gerakladium212450	K08151
Gerakladium11532	K06252
Gerakladium8996	K10380
Gerakladium2266	K00434
Gerakladium64140	K03462
Gerakladium150094	K02889
Gerakladium2839	K04892
Gerakladium194190	K24205
Gerakladium66397	K09503
Gerakladium167902	K03217
Gerakladium103519	K00469
Gerakladium5466	K15639
Gerakladium189078	K15505
Gerakladium113575	K17508
Gerakladium205902	K05849
Gerakladium33684	K23802
Gerakladium28027	K04515
Gerakladium18025	K22666
Gerakladium4767	K12873
Gerakladium131982	K00939
Gerakladium381	K01637
Gerakladium151320	K09839
Gerakladium186504	K07904
Gerakladium261	K03798
Gerakladium12159	K07901
Gerakladium45526	K09584
Gerakladium169076	K24228
Gerakladium26187	K02934
Gerakladium138810	K04794
Gerakladium151709	K01692
Gerakladium218945	K21806
Gerakladium35860	K11493
Gerakladium130920	K02996
Gerakladium153139	K00218
Gerakladium45112	K09553
Gerakladium5315	K23490
Gerakladium191571	K07300
Gerakladium157824	K01135
Gerakladium187371	K10614
Gerakladium39855	K22763
Gerakladium2591	K01689
Gerakladium111603	K22138
Gerakladium205229	K04930
Gerakladium4210	K02872
Gerakladium7404	K04515
Gerakladium211397	K09586
Gerakladium39059	K07466
Gerakladium24592	K02729
Gerakladium134044	K19704
Gerakladium168596	K01488
Gerakladium149960	K00485
Gerakladium22083	K17943
Gerakladium150180	K12450
Gerakladium10069	K03429
Gerakladium114220	K09660
Gerakladium4413	K11187
Gerakladium207405	K00295
Gerakladium70566	K09505
Gerakladium117169	K01076
Gerakladium149190	K10599
Gerakladium120080	K12398
Gerakladium27481	K04908
Gerakladium209395	K17619
Gerakladium195025	K07976
Gerakladium150640	K11984
Gerakladium24185	K02945
Gerakladium167231	K19760
Gerakladium120475	K02986
Gerakladium48642	K01188
Gerakladium149780	K03217
Gerakladium136511	K12132
Gerakladium206966	K12860
Gerakladium168650	K13293
Gerakladium180959	K03113
Gerakladium68816	K03320
Gerakladium216279	K09510
Gerakladium207870	K05000
Gerakladium51866	K10563
Gerakladium188745	K12132
Gerakladium167171	K21989
Gerakladium40779	K13448
Gerakladium11378	K12492
Gerakladium206018	K15986
Gerakladium168249	K22390
Gerakladium18632	K12132
Gerakladium32376	K01176
Gerakladium132013	K15015
Gerakladium107807	K01179
Gerakladium195130	K02090
Gerakladium169421	K04955
Gerakladium55570	K05692
Gerakladium77848	K00485
Gerakladium59939	K06941
Gerakladium16118	K01188
Gerakladium36924	K14326
Gerakladium176140	K01285
Gerakladium135364	K20028
Gerakladium119161	K03115
Gerakladium119307	K06173
Gerakladium29747	K02877
Gerakladium113243	K17341
Gerakladium74263	K14966
Gerakladium155461	K12818
Gerakladium206852	K13525
Gerakladium49859	K11152
Gerakladium70	K24205
Gerakladium7066	K00382
Gerakladium186118	K09122
Gerakladium205717	K13761
Gerakladium185445	K04956
Gerakladium8286	K13412
Gerakladium16453	K06826
Gerakladium116605	K19755
Gerakladium195995	K08489
Gerakladium433	K01803
Gerakladium153416	K22762
Gerakladium15419	K14997
Gerakladium139214	K12608
Gerakladium187280	K10862
Gerakladium2376	K10956
Gerakladium7748	K18341
Gerakladium84984	K03978
Gerakladium33162	K22684
Gerakladium133841	K08498
Gerakladium212170	K02146
Gerakladium3963	K12888
Gerakladium170578	K00908
Gerakladium1294	K10960
Gerakladium191486	K23541
Gerakladium79334	K00380
Gerakladium52154	K06180
Gerakladium25485	K04554
Gerakladium139367	K08342
Gerakladium39501	K00003
Gerakladium187430	K04515
Gerakladium798	K02966
Gerakladium151856	K20793
Gerakladium213408	K08794
Gerakladium22638	K20777
Gerakladium10023	K08151
Gerakladium28412	K09578
Gerakladium90978	K08153
Gerakladium726	K14683
Gerakladium208663	K01342
Gerakladium215619	K01956
Gerakladium55801	K10770
Gerakladium32808	K04043
Gerakladium211221	K02945
Gerakladium689	K02984
Gerakladium206945	K08794
Gerakladium47643	K04079
Gerakladium172209	K21440
Gerakladium9955	K05849
Gerakladium24224	K06877
Gerakladium137375	K01178
Gerakladium207467	K01491
Gerakladium9248	K04079
Gerakladium72255	K02957
Gerakladium136294	K22390
Gerakladium206955	K16602
Gerakladium1734	K02960
Gerakladium185958	K04554
Gerakladium204917	K11787
Gerakladium9812	K18749
Gerakladium19941	K21440
Gerakladium206358	K22763
Gerakladium31974	K00719
Gerakladium849	K02986
Gerakladium4245	K12888
Gerakladium90579	K17584
Gerakladium118323	K00543
Gerakladium121556	K09592
Gerakladium151360	K17560
Gerakladium14885	K03762
Gerakladium42649	K15503
Gerakladium20002	K07931
Gerakladium208855	K01379
Gerakladium12704	K04739
Gerakladium85255	K21440
Gerakladium24814	K05681
Gerakladium196672	K07874
Gerakladium13190	K05884
Gerakladium24103	K22470
Gerakladium20117	K01176
Gerakladium89193	K10380
Gerakladium151425	K00133
Gerakladium150937	K00469
Gerakladium12431	K06180
Gerakladium14976	K11977
Gerakladium170753	K17260
Gerakladium212411	K24195
Gerakladium30194	K16601
Gerakladium189074	K01381
Gerakladium46369	K02184
Gerakladium8333	K00703
Gerakladium114605	K24175
Gerakladium387	K13954
Gerakladium2405	K08848
Gerakladium5727	K03236
Gerakladium54172	K01845
Gerakladium4994	K12447
Gerakladium66499	K08582
Gerakladium8092	K05015
Gerakladium6531	K10408
Gerakladium17080	K00134
Gerakladium185856	K10380
Gerakladium23948	K06179
Gerakladium2808	K04908
